"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
1.422748751E0;2.050312653E2;3.398062744E2;1.143562546E2;4.130175261E2
1.432748751E0;2.051062622E2;3.398062744E2;1.142250061E2;4.130184438E2
1.442748751E0;2.052187653E2;3.396937561E2;1.142437515E2;4.129869542E2
1.452748751E0;2.051437531E2;3.395062561E2;1.142437515E2;4.127954604E2
1.462748751E0;2.051062622E2;3.394687500E2;1.141500015E2;4.127200430E2
1.472748751E0;2.051812592E2;3.396187744E2;1.140187531E2;4.128444466E2
1.482748751E0;2.051062622E2;3.397125244E2;1.139250031E2;4.128584314E2
1.492748751E0;2.047875061E2;3.398250122E2;1.140562515E2;4.128290083E2
1.502748751E0;2.048062592E2;3.399562683E2;1.140750046E2;4.129515405E2
1.512748751E0;2.047875061E2;3.397875061E2;1.142062531E2;4.128396059E2
1.522748751E0;2.046750031E2;3.398062744E2;1.141312561E2;4.127785176E2
1.532748751E0;2.048062592E2;3.399375000E2;1.142812576E2;4.129931156E2
1.542748751E0;2.048062592E2;3.399750061E2;1.141875076E2;4.129980575E2
1.552748751E0;2.047312622E2;3.399562683E2;1.139625015E2;4.128832836E2
1.562748751E0;2.046562653E2;3.398812561E2;1.142437515E2;4.128620713E2
1.572748751E0;2.047875061E2;3.397500000E2;1.141875076E2;4.128035514E2
1.582748751E0;2.048062592E2;3.396375122E2;1.140750046E2;4.126891689E2
1.592748751E0;2.049187622E2;3.398062744E2;1.139625015E2;4.128528249E2
1.602748751E0;2.049750061E2;3.398812561E2;1.141312561E2;4.129890616E2
1.612748751E0;2.049000092E2;3.397312622E2;1.140562515E2;4.128076705E2
1.622748751E0;2.050312653E2;3.397312622E2;1.140562515E2;4.128728361E2
1.632748751E0;2.050500031E2;3.397500000E2;1.142625046E2;4.129545813E2
1.642748751E0;2.051812592E2;3.399375000E2;1.140750046E2;4.131222091E2
1.652748751E0;2.051812592E2;3.398437500E2;1.139437561E2;4.130088414E2
